"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","Value","2019","million No","3.80",""
"Afghanistan","Value","2018","million No","3.60",""
"Afghanistan","Value","2017","million No","3.40",""
"Afghanistan","Value","2016","million No","3.20",""
"Afghanistan","Value","2015","million No","3.00",""
"Afghanistan","Value","2014","million No","2.90",""
"Afghanistan","Value","2013","million No","2.70",""
"Afghanistan","Value","2012","million No","2.50",""
"Afghanistan","Value","2011","million No","2.40",""
"Afghanistan","Value","2010","million No","2.30",""
"Afghanistan","Value","2009","million No","2.20",""
"Afghanistan","Value","2008","million No","2.10",""
"Afghanistan","Value","2007","million No","2.00",""
"Afghanistan","Value","2006","million No","2.00",""
"Afghanistan","Value","2005","million No","1.90",""
"Afghanistan","Value","2004","million No","1.80",""
"Afghanistan","Value","2003","million No","1.70",""
"Afghanistan","Value","2002","million No","1.70",""
"Afghanistan","Value","2001","million No","1.60",""
"Afghanistan","Value","2000","million No","1.50",""
"Africa","Value","2019","million No","122.70",""
"Africa","Value","2018","million No","119.10",""
"Africa","Value","2017","million No","115.90",""
"Africa","Value","2016","million No","112.90",""
"Africa","Value","2015","million No","110.20",""
"Africa","Value","2014","million No","107.60",""
"Africa","Value","2013","million No","105.20",""
"Africa","Value","2012","million No","103.10",""
"Africa","Value","2011","million No","101.20",""
"Africa","Value","2010","million No","99.70",""
"Africa","Value","2009","million No","98.30",""
"Africa","Value","2008","million No","97.10",""
"Africa","Value","2007","million No","96.00",""
"Africa","Value","2006","million No","94.70",""
"Africa","Value","2005","million No","93.40",""
"Africa","Value","2004","million No","91.80",""
"Africa","Value","2003","million No","90.10",""
"Africa","Value","2002","million No","88.30",""
"Africa","Value","2001","million No","15.80",""
"Africa","Value","2000","million No","85.10",""
"Nepal","Value","2019","million No","3.20",""
"Nepal","Value","2018","million No","3.10",""
"Nepal","Value","2017","million No","3.00",""
"Nepal","Value","2016","million No","2.90",""
"Nepal","Value","2015","million No","2.80",""
"Nepal","Value","2014","million No","2.70",""
"Nepal","Value","2013","million No","2.70",""
"Nepal","Value","2012","million No","2.60",""
"Nepal","Value","2011","million No","2.60",""
"Nepal","Value","2010","million No","2.60",""
"Nepal","Value","2009","million No","2.50",""
"Nepal","Value","2008","million No","2.50",""
"Nepal","Value","2007","million No","2.50",""
"Nepal","Value","2006","million No","2.50",""
"Nepal","Value","2005","million No","2.50",""
"Nepal","Value","2004","million No","2.50",""
"Nepal","Value","2003","million No","2.60",""
"Nepal","Value","2002","million No","2.60",""
"Nepal","Value","2001","million No","2.60",""
"Nepal","Value","2000","million No","2.60",""
